cohort_month,acquisition_source,month_number,active_users,cohort_size,retention_percentage
2019-07-01,Email,0,32,32,100.0
2019-07-01,Email,4,1,32,3.13
2019-07-01,Email,8,1,32,3.13
2019-07-01,Email,15,1,32,3.13
2019-07-01,Email,19,2,32,6.25
2019-07-01,Email,23,1,32,3.13
2019-07-01,Email,33,1,32,3.13
2019-07-01,Email,37,1,32,3.13
2019-07-01,Email,38,1,32,3.13
2019-07-01,Email,41,1,32,3.13
2019-07-01,Email,44,1,32,3.13
2019-07-01,Email,52,1,32,3.13
2019-07-01,Email,53,1,32,3.13
2019-07-01,Email,59,1,32,3.13
2019-07-01,Email,60,1,32,3.13
2019-07-01,Email,73,1,32,3.13
2019-07-01,Email,76,1,32,3.13
2019-07-01,Email,80,3,32,9.38
2019-07-01,Email,81,1,32,3.13
2019-07-01,Facebook,0,5,5,100.0
2019-07-01,Facebook,42,1,5,20.0
2019-07-01,Facebook,46,1,5,20.0
2019-07-01,Facebook,63,1,5,20.0
2019-07-01,Facebook,64,1,5,20.0
2019-07-01,Organic,0,5,5,100.0
2019-07-01,Organic,7,1,5,20.0
2019-07-01,Organic,8,1,5,20.0
2019-07-01,Organic,9,1,5,20.0
2019-07-01,Organic,14,1,5,20.0
2019-07-01,Organic,63,1,5,20.0
2019-07-01,Organic,73,1,5,20.0
2019-07-01,YouTube,0,7,7,100.0
2019-07-01,YouTube,19,1,7,14.29
2019-07-01,YouTube,20,1,7,14.29
2019-07-01,YouTube,34,1,7,14.29
2019-07-01,YouTube,37,1,7,14.29
2019-08-01,Adwords,0,26,26,100.0
2019-08-01,Adwords,2,1,26,3.85
2019-08-01,Adwords,8,1,26,3.85
2019-08-01,Adwords,13,1,26,3.85
2019-08-01,Adwords,20,1,26,3.85
2019-08-01,Adwords,33,1,26,3.85
2019-08-01,Adwords,38,2,26,7.69
2019-08-01,Adwords,45,1,26,3.85
2019-08-01,Adwords,47,1,26,3.85
2019-08-01,Adwords,53,1,26,3.85
2019-08-01,Adwords,63,1,26,3.85
2019-08-01,Adwords,66,1,26,3.85
2019-08-01,Adwords,77,1,26,3.85
2019-08-01,Adwords,80,1,26,3.85
2019-08-01,Adwords,81,1,26,3.85
2019-08-01,Email,0,33,33,100.0
2019-08-01,Email,1,1,33,3.03
2019-08-01,Email,3,1,33,3.03
2019-08-01,Email,10,1,33,3.03
2019-08-01,Email,23,1,33,3.03
2019-08-01,Email,28,1,33,3.03
2019-08-01,Email,34,1,33,3.03
2019-08-01,Email,36,1,33,3.03
2019-08-01,Email,41,1,33,3.03
2019-08-01,Email,47,1,33,3.03
2019-08-01,Email,50,3,33,9.09
2019-08-01,Email,57,1,33,3.03
2019-08-01,Email,61,1,33,3.03
2019-08-01,Email,68,2,33,6.06
2019-08-01,Email,69,1,33,3.03
2019-08-01,Email,71,3,33,9.09
2019-08-01,Email,72,1,33,3.03
2019-08-01,Email,74,1,33,3.03
2019-08-01,Email,81,1,33,3.03
2019-08-01,Facebook,0,10,10,100.0
2019-08-01,Facebook,5,1,10,10.0
2019-08-01,Facebook,10,1,10,10.0
2019-08-01,Facebook,14,1,10,10.0
2019-08-01,Facebook,23,1,10,10.0
2019-08-01,Facebook,54,1,10,10.0
2019-08-01,Facebook,62,1,10,10.0
2019-08-01,Facebook,64,1,10,10.0
2019-08-01,Facebook,77,1,10,10.0
2019-08-01,Organic,0,4,4,100.0
2019-08-01,Organic,14,1,4,25.0
2019-08-01,Organic,40,1,4,25.0
2019-08-01,Organic,43,1,4,25.0
2019-08-01,Organic,51,1,4,25.0
2019-08-01,Organic,79,1,4,25.0
2019-08-01,YouTube,0,7,7,100.0
2019-08-01,YouTube,8,1,7,14.29
2019-08-01,YouTube,9,1,7,14.29
2019-08-01,YouTube,26,1,7,14.29
2019-08-01,YouTube,31,1,7,14.29
2019-08-01,YouTube,60,1,7,14.29
2019-08-01,YouTube,69,1,7,14.29
2019-09-01,Adwords,0,32,32,100.0
2019-09-01,Adwords,1,1,32,3.13
2019-09-01,Adwords,6,2,32,6.25
2019-09-01,Adwords,7,2,32,6.25
2019-09-01,Adwords,8,1,32,3.13
2019-09-01,Adwords,13,1,32,3.13
2019-09-01,Adwords,16,1,32,3.13
2019-09-01,Adwords,17,1,32,3.13
2019-09-01,Adwords,22,1,32,3.13
2019-09-01,Adwords,30,2,32,6.25
2019-09-01,Adwords,32,1,32,3.13
2019-09-01,Adwords,37,1,32,3.13
2019-09-01,Adwords,51,1,32,3.13
2019-09-01,Adwords,53,1,32,3.13
2019-09-01,Adwords,56,1,32,3.13
2019-09-01,Adwords,57,1,32,3.13
2019-09-01,Adwords,72,1,32,3.13
2019-09-01,Adwords,75,1,32,3.13
2019-09-01,Adwords,76,1,32,3.13
2019-09-01,Email,0,44,44,100.0
2019-09-01,Email,11,1,44,2.27
2019-09-01,Email,18,2,44,4.55
2019-09-01,Email,20,1,44,2.27
2019-09-01,Email,21,1,44,2.27
2019-09-01,Email,23,1,44,2.27
2019-09-01,Email,24,1,44,2.27
2019-09-01,Email,27,1,44,2.27
2019-09-01,Email,29,2,44,4.55
2019-09-01,Email,32,2,44,4.55
2019-09-01,Email,39,1,44,2.27
2019-09-01,Email,42,1,44,2.27
2019-09-01,Email,43,1,44,2.27
2019-09-01,Email,46,1,44,2.27
2019-09-01,Email,47,1,44,2.27
2019-09-01,Email,49,1,44,2.27
2019-09-01,Email,53,1,44,2.27
2019-09-01,Email,54,1,44,2.27
2019-09-01,Email,56,1,44,2.27
2019-09-01,Email,58,1,44,2.27
2019-09-01,Email,61,1,44,2.27
2019-09-01,Email,62,1,44,2.27
2019-09-01,Email,64,1,44,2.27
2019-09-01,Email,71,1,44,2.27
2019-09-01,Email,74,1,44,2.27
2019-09-01,Email,76,1,44,2.27
2019-09-01,Email,80,1,44,2.27
2019-09-01,Facebook,0,13,13,100.0
2019-09-01,Facebook,7,1,13,7.69
2019-09-01,Facebook,14,1,13,7.69
2019-09-01,Facebook,23,1,13,7.69
2019-09-01,Facebook,36,1,13,7.69
2019-09-01,Facebook,37,1,13,7.69
2019-09-01,Facebook,47,1,13,7.69
2019-09-01,Facebook,50,1,13,7.69
2019-09-01,Facebook,63,1,13,7.69
2019-09-01,Facebook,65,1,13,7.69
2019-09-01,Facebook,68,1,13,7.69
2019-09-01,Facebook,69,1,13,7.69
2019-09-01,Facebook,70,1,13,7.69
2019-09-01,Facebook,75,1,13,7.69
2019-09-01,Organic,0,6,6,100.0
2019-09-01,Organic,47,1,6,16.67
2019-09-01,Organic,60,1,6,16.67
2019-09-01,YouTube,0,9,9,100.0
2019-09-01,YouTube,1,1,9,11.11
2019-09-01,YouTube,11,1,9,11.11
2019-09-01,YouTube,21,1,9,11.11
2019-09-01,YouTube,23,1,9,11.11
2019-09-01,YouTube,39,1,9,11.11
2019-09-01,YouTube,50,1,9,11.11
2019-09-01,YouTube,57,1,9,11.11
2019-09-01,YouTube,58,1,9,11.11
2019-09-01,YouTube,64,1,9,11.11
2019-09-01,YouTube,70,1,9,11.11
2019-09-01,YouTube,71,1,9,11.11
2019-09-01,YouTube,73,1,9,11.11
2019-10-01,Adwords,0,43,43,100.0
2019-10-01,Adwords,2,1,43,2.33
2019-10-01,Adwords,4,1,43,2.33
2019-10-01,Adwords,8,1,43,2.33
2019-10-01,Adwords,10,1,43,2.33
2019-10-01,Adwords,13,2,43,4.65
2019-10-01,Adwords,29,1,43,2.33
2019-10-01,Adwords,30,1,43,2.33
2019-10-01,Adwords,31,1,43,2.33
2019-10-01,Adwords,35,1,43,2.33
2019-10-01,Adwords,36,1,43,2.33
2019-10-01,Adwords,37,1,43,2.33
2019-10-01,Adwords,38,1,43,2.33
2019-10-01,Adwords,39,1,43,2.33
2019-10-01,Adwords,40,1,43,2.33
2019-10-01,Adwords,42,1,43,2.33
2019-10-01,Adwords,43,1,43,2.33
2019-10-01,Adwords,48,1,43,2.33
2019-10-01,Adwords,51,1,43,2.33
2019-10-01,Adwords,55,1,43,2.33
2019-10-01,Adwords,62,2,43,4.65
2019-10-01,Adwords,63,2,43,4.65
2019-10-01,Adwords,70,2,43,4.65
2019-10-01,Adwords,71,1,43,2.33
2019-10-01,Adwords,73,1,43,2.33
2019-10-01,Adwords,78,1,43,2.33
2019-10-01,Email,0,56,56,100.0
2019-10-01,Email,4,1,56,1.79
2019-10-01,Email,6,1,56,1.79
2019-10-01,Email,11,1,56,1.79
2019-10-01,Email,13,1,56,1.79
2019-10-01,Email,14,1,56,1.79
2019-10-01,Email,17,2,56,3.57
2019-10-01,Email,20,1,56,1.79
2019-10-01,Email,21,1,56,1.79
2019-10-01,Email,22,1,56,1.79
2019-10-01,Email,31,1,56,1.79
2019-10-01,Email,33,1,56,1.79
2019-10-01,Email,35,1,56,1.79
2019-10-01,Email,37,1,56,1.79
2019-10-01,Email,38,2,56,3.57
2019-10-01,Email,42,2,56,3.57
2019-10-01,Email,43,1,56,1.79
2019-10-01,Email,51,1,56,1.79
2019-10-01,Email,53,1,56,1.79
2019-10-01,Email,55,1,56,1.79
2019-10-01,Email,56,1,56,1.79
2019-10-01,Email,57,2,56,3.57
2019-10-01,Email,61,1,56,1.79
2019-10-01,Email,65,2,56,3.57
2019-10-01,Email,67,1,56,1.79
2019-10-01,Email,68,1,56,1.79
2019-10-01,Email,69,1,56,1.79
2019-10-01,Email,75,1,56,1.79
2019-10-01,Facebook,0,5,5,100.0
2019-10-01,Facebook,10,1,5,20.0
2019-10-01,Facebook,14,1,5,20.0
2019-10-01,Facebook,41,1,5,20.0
2019-10-01,Facebook,47,1,5,20.0
2019-10-01,Facebook,70,1,5,20.0
2019-10-01,Facebook,76,1,5,20.0
2019-10-01,Facebook,78,1,5,20.0
2019-10-01,Organic,0,6,6,100.0
2019-10-01,Organic,10,1,6,16.67
2019-10-01,Organic,27,1,6,16.67
2019-10-01,Organic,33,1,6,16.67
2019-10-01,Organic,40,1,6,16.67
2019-10-01,Organic,48,1,6,16.67
2019-10-01,Organic,59,1,6,16.67
2019-10-01,Organic,61,1,6,16.67
2019-10-01,Organic,77,1,6,16.67
2019-10-01,Organic,78,1,6,16.67
2019-10-01,YouTube,0,14,14,100.0
2019-10-01,YouTube,4,1,14,7.14
2019-10-01,YouTube,23,1,14,7.14
2019-10-01,YouTube,29,1,14,7.14
2019-10-01,YouTube,33,1,14,7.14
2019-10-01,YouTube,54,1,14,7.14
2019-10-01,YouTube,57,1,14,7.14
2019-10-01,YouTube,77,1,14,7.14
2019-11-01,Adwords,0,49,49,100.0
2019-11-01,Adwords,12,1,49,2.04
2019-11-01,Adwords,16,1,49,2.04
2019-11-01,Adwords,23,1,49,2.04
2019-11-01,Adwords,25,1,49,2.04
2019-11-01,Adwords,27,1,49,2.04
2019-11-01,Adwords,30,1,49,2.04
2019-11-01,Adwords,40,1,49,2.04
2019-11-01,Adwords,42,1,49,2.04
2019-11-01,Adwords,51,1,49,2.04
2019-11-01,Adwords,52,2,49,4.08
2019-11-01,Adwords,56,1,49,2.04
2019-11-01,Adwords,57,1,49,2.04
2019-11-01,Adwords,58,1,49,2.04
2019-11-01,Adwords,61,1,49,2.04
2019-11-01,Adwords,66,1,49,2.04
2019-11-01,Adwords,68,1,49,2.04
2019-11-01,Adwords,72,1,49,2.04
2019-11-01,Adwords,74,1,49,2.04
2019-11-01,Adwords,76,1,49,2.04
2019-11-01,Adwords,77,2,49,4.08
2019-11-01,Adwords,78,1,49,2.04
2019-11-01,Email,0,55,55,100.0
2019-11-01,Email,2,1,55,1.82
2019-11-01,Email,8,1,55,1.82
2019-11-01,Email,12,1,55,1.82
2019-11-01,Email,13,1,55,1.82
2019-11-01,Email,17,2,55,3.64
2019-11-01,Email,22,1,55,1.82
2019-11-01,Email,23,2,55,3.64
2019-11-01,Email,25,1,55,1.82
2019-11-01,Email,27,1,55,1.82
2019-11-01,Email,28,2,55,3.64
2019-11-01,Email,32,1,55,1.82
2019-11-01,Email,33,1,55,1.82
2019-11-01,Email,38,2,55,3.64
2019-11-01,Email,39,1,55,1.82
2019-11-01,Email,43,3,55,5.45
2019-11-01,Email,49,1,55,1.82
2019-11-01,Email,52,1,55,1.82
2019-11-01,Email,54,3,55,5.45
2019-11-01,Email,55,1,55,1.82
2019-11-01,Email,56,1,55,1.82
2019-11-01,Email,61,1,55,1.82
2019-11-01,Email,63,1,55,1.82
2019-11-01,Email,64,3,55,5.45
2019-11-01,Email,68,1,55,1.82
2019-11-01,Email,71,1,55,1.82
2019-11-01,Email,74,2,55,3.64
2019-11-01,Email,75,1,55,1.82
2019-11-01,Email,77,1,55,1.82
2019-11-01,Email,78,2,55,3.64
2019-11-01,Facebook,0,14,14,100.0
2019-11-01,Facebook,5,1,14,7.14
2019-11-01,Facebook,8,1,14,7.14
2019-11-01,Facebook,12,1,14,7.14
2019-11-01,Facebook,15,1,14,7.14
2019-11-01,Facebook,35,1,14,7.14
2019-11-01,Facebook,49,1,14,7.14
2019-11-01,Facebook,53,1,14,7.14
2019-11-01,Facebook,57,1,14,7.14
2019-11-01,Facebook,64,1,14,7.14
2019-11-01,Facebook,66,1,14,7.14
2019-11-01,Facebook,77,2,14,14.29
2019-11-01,Organic,0,3,3,100.0
2019-11-01,YouTube,0,10,10,100.0
2019-11-01,YouTube,1,1,10,10.0
2019-11-01,YouTube,13,1,10,10.0
2019-11-01,YouTube,26,1,10,10.0
2019-11-01,YouTube,30,1,10,10.0
2019-11-01,YouTube,34,1,10,10.0
2019-11-01,YouTube,37,1,10,10.0
2019-11-01,YouTube,46,1,10,10.0
2019-11-01,YouTube,49,1,10,10.0
2019-12-01,Adwords,0,49,49,100.0
2019-12-01,Adwords,1,1,49,2.04
2019-12-01,Adwords,2,1,49,2.04
2019-12-01,Adwords,3,1,49,2.04
2019-12-01,Adwords,11,1,49,2.04
2019-12-01,Adwords,12,1,49,2.04
2019-12-01,Adwords,15,2,49,4.08
2019-12-01,Adwords,22,1,49,2.04
2019-12-01,Adwords,23,1,49,2.04
2019-12-01,Adwords,24,3,49,6.12
2019-12-01,Adwords,25,1,49,2.04
2019-12-01,Adwords,31,1,49,2.04
2019-12-01,Adwords,33,1,49,2.04
2019-12-01,Adwords,35,2,49,4.08
2019-12-01,Adwords,41,1,49,2.04
2019-12-01,Adwords,42,1,49,2.04
2019-12-01,Adwords,49,1,49,2.04
2019-12-01,Adwords,53,1,49,2.04
2019-12-01,Adwords,55,2,49,4.08
2019-12-01,Adwords,57,1,49,2.04
2019-12-01,Adwords,60,1,49,2.04
2019-12-01,Adwords,71,1,49,2.04
2019-12-01,Adwords,72,2,49,4.08
2019-12-01,Adwords,73,1,49,2.04
2019-12-01,Adwords,77,1,49,2.04
2019-12-01,Email,0,59,59,100.0
2019-12-01,Email,1,1,59,1.69
2019-12-01,Email,2,2,59,3.39
2019-12-01,Email,7,1,59,1.69
2019-12-01,Email,9,1,59,1.69
2019-12-01,Email,11,1,59,1.69
2019-12-01,Email,13,1,59,1.69
2019-12-01,Email,15,1,59,1.69
2019-12-01,Email,18,1,59,1.69
2019-12-01,Email,19,2,59,3.39
2019-12-01,Email,20,2,59,3.39
2019-12-01,Email,23,1,59,1.69
2019-12-01,Email,28,1,59,1.69
2019-12-01,Email,33,2,59,3.39
2019-12-01,Email,35,2,59,3.39
2019-12-01,Email,37,1,59,1.69
2019-12-01,Email,38,1,59,1.69
2019-12-01,Email,40,1,59,1.69
2019-12-01,Email,41,1,59,1.69
2019-12-01,Email,43,2,59,3.39
2019-12-01,Email,46,1,59,1.69
2019-12-01,Email,49,2,59,3.39
2019-12-01,Email,50,1,59,1.69
2019-12-01,Email,51,2,59,3.39
2019-12-01,Email,56,2,59,3.39
2019-12-01,Email,57,1,59,1.69
2019-12-01,Email,59,1,59,1.69
2019-12-01,Email,60,1,59,1.69
2019-12-01,Email,63,3,59,5.08
2019-12-01,Email,66,1,59,1.69
2019-12-01,Email,69,1,59,1.69
2019-12-01,Email,70,1,59,1.69
2019-12-01,Email,72,2,59,3.39
2019-12-01,Email,73,2,59,3.39
2019-12-01,Email,75,1,59,1.69
2019-12-01,Email,77,1,59,1.69
2019-12-01,Facebook,0,11,11,100.0
2019-12-01,Facebook,3,1,11,9.09
2019-12-01,Facebook,12,1,11,9.09
2019-12-01,Facebook,18,1,11,9.09
2019-12-01,Facebook,37,1,11,9.09
2019-12-01,Facebook,41,1,11,9.09
2019-12-01,Facebook,52,1,11,9.09
2019-12-01,Facebook,55,1,11,9.09
2019-12-01,Facebook,56,2,11,18.18
2019-12-01,Facebook,58,1,11,9.09
2019-12-01,Facebook,76,1,11,9.09
2019-12-01,Organic,0,6,6,100.0
2019-12-01,Organic,33,1,6,16.67
2019-12-01,Organic,77,1,6,16.67
2019-12-01,YouTube,0,10,10,100.0
2019-12-01,YouTube,14,1,10,10.0
2019-12-01,YouTube,21,1,10,10.0
2019-12-01,YouTube,33,1,10,10.0
2019-12-01,YouTube,60,1,10,10.0
2019-12-01,YouTube,65,1,10,10.0
2019-12-01,YouTube,74,1,10,10.0
2020-01-01,Adwords,0,41,41,100.0
2020-01-01,Adwords,1,2,41,4.88
2020-01-01,Adwords,2,1,41,2.44
2020-01-01,Adwords,4,1,41,2.44
2020-01-01,Adwords,5,1,41,2.44
2020-01-01,Adwords,9,2,41,4.88
2020-01-01,Adwords,12,1,41,2.44
2020-01-01,Adwords,13,1,41,2.44
2020-01-01,Adwords,14,1,41,2.44
2020-01-01,Adwords,19,1,41,2.44
2020-01-01,Adwords,25,1,41,2.44
2020-01-01,Adwords,26,2,41,4.88
2020-01-01,Adwords,29,2,41,4.88
2020-01-01,Adwords,33,1,41,2.44
2020-01-01,Adwords,49,1,41,2.44
2020-01-01,Adwords,53,1,41,2.44
2020-01-01,Adwords,58,1,41,2.44
2020-01-01,Adwords,62,1,41,2.44
2020-01-01,Adwords,63,2,41,4.88
2020-01-01,Adwords,70,1,41,2.44
2020-01-01,Email,0,63,63,100.0
2020-01-01,Email,1,1,63,1.59
2020-01-01,Email,6,1,63,1.59
2020-01-01,Email,7,2,63,3.17
2020-01-01,Email,8,2,63,3.17
2020-01-01,Email,9,1,63,1.59
2020-01-01,Email,11,1,63,1.59
2020-01-01,Email,13,1,63,1.59
2020-01-01,Email,14,1,63,1.59
2020-01-01,Email,15,1,63,1.59
2020-01-01,Email,21,1,63,1.59
2020-01-01,Email,24,1,63,1.59
2020-01-01,Email,25,1,63,1.59
2020-01-01,Email,27,2,63,3.17
2020-01-01,Email,31,1,63,1.59
2020-01-01,Email,33,1,63,1.59
2020-01-01,Email,34,1,63,1.59
2020-01-01,Email,36,1,63,1.59
2020-01-01,Email,39,1,63,1.59
2020-01-01,Email,40,1,63,1.59
2020-01-01,Email,41,2,63,3.17
2020-01-01,Email,42,1,63,1.59
2020-01-01,Email,43,3,63,4.76
2020-01-01,Email,45,1,63,1.59
2020-01-01,Email,47,2,63,3.17
2020-01-01,Email,48,1,63,1.59
2020-01-01,Email,51,1,63,1.59
2020-01-01,Email,53,1,63,1.59
2020-01-01,Email,54,1,63,1.59
2020-01-01,Email,57,1,63,1.59
2020-01-01,Email,58,1,63,1.59
2020-01-01,Email,59,4,63,6.35
2020-01-01,Email,60,1,63,1.59
2020-01-01,Email,61,1,63,1.59
2020-01-01,Email,64,2,63,3.17
2020-01-01,Email,67,1,63,1.59
2020-01-01,Email,70,1,63,1.59
2020-01-01,Email,71,1,63,1.59
2020-01-01,Email,73,2,63,3.17
2020-01-01,Email,74,2,63,3.17
2020-01-01,Email,75,1,63,1.59
2020-01-01,Facebook,0,16,16,100.0
2020-01-01,Facebook,9,1,16,6.25
2020-01-01,Facebook,21,1,16,6.25
2020-01-01,Facebook,24,1,16,6.25
2020-01-01,Facebook,30,1,16,6.25
2020-01-01,Facebook,36,1,16,6.25
2020-01-01,Facebook,41,1,16,6.25
2020-01-01,Facebook,42,1,16,6.25
2020-01-01,Facebook,49,1,16,6.25
2020-01-01,Facebook,63,1,16,6.25
2020-01-01,Facebook,67,1,16,6.25
2020-01-01,Organic,0,8,8,100.0
2020-01-01,Organic,18,1,8,12.5
2020-01-01,Organic,51,1,8,12.5
2020-01-01,Organic,69,1,8,12.5
2020-01-01,Organic,76,1,8,12.5
2020-01-01,YouTube,0,19,19,100.0
2020-01-01,YouTube,2,1,19,5.26
2020-01-01,YouTube,6,2,19,10.53
2020-01-01,YouTube,15,1,19,5.26
